"WebID","Area","Data label","2016","2016%","2011","2011%","2006","2006%","2001","2001%","Data Type",
"10","Australia","Fijian Hindustani","2702","0.0115","1406","0.0065","","","","","UR",
"10","Australia","Chin Haka","4807","0.0205","828","0.0038","","","","","UR",
"10","Australia","Arabic","321720","1.3748","287171","1.3352","243661","1.2272","209121","1.1168","UR",
"10","Australia","Australian Indigenous Languages","64761","0.2767","61749","0.2871","55699","0.2805","50538","0.2699","UR",
"10","Australia","Cantonese","280943","1.2005","263538","1.2253","244557","1.2317","225088","1.2021","UR",
"10","Australia","Mandarin","596703","2.5498","336178","1.5631","220604","1.1111","139114","0.7430","UR",
"10","Australia","Croatian","56885","0.2431","61545","0.2862","63617","0.3204","69748","0.3725","UR",
"10","Australia","Dutch","33826","0.1445","37247","0.1732","36185","0.1822","40058","0.2139","UR",
"10","Australia","Filipino/Tagalog","182498","0.7798","136846","0.6363","92327","0.4650","78760","0.4206","UR",
"10","Australia","French","70878","0.3029","57741","0.2685","43216","0.2177","39551","0.2112","UR",
"10","Australia","German","79352","0.3391","80366","0.3737","75636","0.3809","76215","0.4070","UR",
"10","Australia","Greek","237583","1.0152","252211","1.1727","252226","1.2703","263487","1.4072","UR",
"10","Australia","Hindi","159637","0.6822","111349","0.5177","70006","0.3526","47766","0.2551","UR",
"10","Australia","Hungarian","19890","0.0850","20875","0.0971","21559","0.1086","24413","0.1304","UR",
"10","Australia","Indonesian","67894","0.2901","55861","0.2597","42037","0.2117","38698","0.2067","UR",
"10","Australia","Persian/Dari/Hazaraghi","111012","0.4744","54741","0.2545","37154","0.1871","25211","0.1346","UR",
"10","Australia","Italian","271602","1.1606","299829","1.3941","316894","1.5960","353229","1.8865","UR",
"10","Australia","Japanese","55958","0.2391","43690","0.2031","35111","0.1768","28245","0.1508","UR",
"10","Australia","Khmer","35429","0.1514","29518","0.1372","24710","0.1245","21952","0.1172","UR",
"10","Australia","Korean","108994","0.4657","79784","0.3710","54624","0.2751","39458","0.2107","UR",
"10","Australia","Macedonian","66020","0.2821","68843","0.3201","67833","0.3416","71982","0.3844","UR",
"10","Australia","Maltese","31993","0.1367","34398","0.1599","36518","0.1839","41347","0.2208","UR",
"10","Australia","Polish","48070","0.2054","50696","0.2357","53390","0.2689","58992","0.3151","UR",
"10","Australia","Portuguese","48856","0.2088","33348","0.1551","25777","0.1298","23650","0.1263","UR",
"10","Australia","Russian","50312","0.2150","44054","0.2048","36503","0.1838","34741","0.1855","UR",
"10","Australia","Samoan","44875","0.1918","36574","0.1701","28528","0.1437","22703","0.1212","UR",
